micrograph_no,brief_description,keywords,categories,system,composition,standard_codes,reaction,processing,applications,sample_preparation,technique,length_bar,further_information,contributor,organisation,image_url,image_local_path,page_url
33,"Cu 70, Zn 30 (wt%), partial recrystallisation - annealing twins","alloy , annealing , brass , copper, metal, recrystallisation , twinning , zinc",Metal or alloy,Cu-Zn,"Cu 70, Zn 30 (wt%)",,,"Annealed, cold rolled 50% and annealed again for 30 minutes at 800 °C",,,Reflected light microscopy,400 μm,"This sample was annealed and 50% cold rolled, with subsequent annealing for 30 minutes at 800 Â°C. The high annealing temperature raises the rate of growth of the recrystallised grains giving a single a phase containing annealing twins.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000033.jpg,./miclib_output/images/000033.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=33
34,"Cu 70, Zn 30 (wt%), partial recrystallisation - annealing twins","alloy , annealing , brass , copper, metal, recrystallisation , twinning , zinc",Metal or alloy,Cu-Zn,"Cu 70, Zn 30 (wt%)",,,"Annealed, cold rolled 50% and annealed again for 30 minutes at 800 °C",,,Reflected light microscopy,80 μm,"This sample was annealed and 50% cold rolled, with subsequent annealing for 30 minutes at 800 Â°C. The high annealing temperature raises the rate of growth of the recrystallised grains giving a single a phase containing annealing twins.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000034.jpg,./miclib_output/images/000034.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=34
35,"Cu 70, Zn 30 (wt%), faster recrystallisation - finer grain size","alloy , annealing , brass , copper, metal, recrystallisation , zinc",Metal or alloy,Cu-Zn,"Cu 70, Zn 30 (wt%)",,,"Annealed, cold rolled 70% and annealed again for 30 minutes at 800 °C",,,Reflected light microscopy,80 μm,"This sample was annealed and 70% cold rolled, with subsequent annealing for 30 minutes at 800 Â°C. This high deformation leads to higher defect density and therefore more recrystallisation. This gives a finer ultimate grain size as the nucleation rate for recrystallisation increases with the extent of deformation.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000035.jpg,./miclib_output/images/000035.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=35
36,"Cu 60, Zn 40 (wt%), quenched - metastable b grains","alloy , brass , copper, metal, metastable , quenching , zinc",Metal or alloy,Cu-Zn,"Cu 60, Zn 40 (wt%)",,,"Homogenised at 800 Â°C, quenched",,Etched in NH4OH/H202,Reflected light microscopy,400 μm,This sample was homogenised at 800 Â°C and quenched rapidly to retain supersaturated metastable b grains. With quenching there is insufficient time for diffusion to occur resulting in a metastable structure.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000036.jpg,./miclib_output/images/000036.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=36
37,"Cu 70, Zn 30 (wt%), slow cooling - annealing twins","alloy , annealing , brass , copper, metal, recrystallisation , twinning , zinc",Metal or alloy,Cu-Zn,"Cu 70, Zn 30 (wt%)",,,Cold rolled and recrystallised,,Etched in NH4OH/H202,Reflected light microscopy,400 μm,This sample was cooled slowly and contains equiaxed a grains that form in order to minimise their surface energy. Within these grains there is evidence of twinning. Annealing twins have formed during recrystallisation.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000037.jpg,./miclib_output/images/000037.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=37
38,"Cu 98, Be 2 (wt%), slow cooling - annealing twins","alloy , annealing , beryllium, copper, metal, recrystallisation , solution heat treatment , twinning",Metal or alloy,Cu-Be,"Cu 98, Be 2 (wt%)",,,Solution treated and slow cooled,,,Reflected light microscopy,400 μm,This sample was solution treated and cooled slowly. It contains equiaxed a grains that form in order to minimise their surface energy. Within these grains there is evidence of twinning. Annealing twins have formed during recrystallisation.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000038.jpg,./miclib_output/images/000038.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=38
39,"Cu 98, Be 2 (wt%), quenched and aged - annealing twins","alloy , annealing , beryllium, copper, metal, quenching , solution heat treatment , twinning",Metal or alloy,Cu-Be,"Cu 98, Be 2 (wt%)",,,"Solution treated, quenched and aged",,,Reflected light microscopy,400 μm,"This sample was solution treated, quenched and aged. Recrystallisation occurs during ageing creating annealing twins.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000039.jpg,./miclib_output/images/000039.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=39
40,"Cu 98, Be 2 (wt%), quenched and aged - annealing twins","alloy , annealing , beryllium, copper, metal, quenching , solution heat treatment , twinning",Metal or alloy,Cu-Be,"Cu 98, Be 2 (wt%)",,,"Solution treated, quenched and aged",,,Reflected light microscopy,80 μm,"This sample was solution treated, quenched and aged. Recrystallisation occurs during ageing creating annealing twins.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000040.jpg,./miclib_output/images/000040.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=40
41,"Zn, cold rolled - mechanical twins","alloy , mechanical twins , metal, twinning , zinc",Metal or alloy,Zn,Not specified,,,Cold rolled,,,Reflected light microscopy,400 μm,"This sample was cold rolled. Zinc has a hexagonal structure so it contains only two independent slip systems. However, for slip to occur, five slip systems are required so zinc does not undergo general plasticity. Instead it forms mechanical twins as an alternative to dislocation motion to accommodate the deformation.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000041.jpg,./miclib_output/images/000041.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=41
42,"Zn, cold rolled - mechanical twins","alloy , mechanical twins , metal, twinning , zinc",Metal or alloy,Zn,Not specified,,,Cold rolled,,,Reflected light microscopy,80 μm,"This sample was cold rolled. Zinc has a hexagonal structure so it contains only two independent slip systems. However, for slip to occur, five slip systems are required so zinc does not undergo general plasticity. Instead it forms mechanical twins as an alternative to dislocation motion to accommodate the deformation.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000042.jpg,./miclib_output/images/000042.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=42
43,"Fe, C 0.2 (wt%), explosively deformed - mechanical twins","alloy , carbon, iron, mechanical twins , metal, steel , twinning",Metal or alloy,Fe-C-X,"Fe, C 0.2 (wt%)",,,Explosively deformed,,,Reflected light microscopy,400 μm,"This sample was explosively deformed so that there was insufficient time for dislocation motion to occur. Hence, mechanical twins are produced despite the b.c.c. structure of mild steel.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000043.jpg,./miclib_output/images/000043.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=43
44,"Fe, C 0.2 (wt%), explosively deformed - mechanical twins","alloy , carbon, iron, mechanical twins , metal, steel , twinning",Metal or alloy,Fe-C-X,"Fe, C 0.2 (wt%)",,,Explosively deformed,,,Reflected light microscopy,80 μm,"This sample was explosively deformed so that there was insufficient time for dislocation motion to occur. Hence, mechanical twins are produced despite the b.c.c. structure of mild steel.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000044.jpg,./miclib_output/images/000044.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=44
45,"Fe, Ni 30, C 0.3 (wt%), quenched - martensite plates","alloy , carbon, iron, martensite , metal, metastable , nickel, quenching",Metal or alloy,Fe-C-X,"Fe, C 0.3, Ni 30 (wt%)",,,Quenched to -80 °C,,,Reflected light microscopy,200 μm,This sample was quenched to -80 Â°C to give a metastable martensitic microstructure. The martensite plates show a lenticular morphology as the material attempts to shear as it transforms but is unable to open up voids at the grain boundaries. The plates form in a similar way to mechanical twins but the shear processes lead to changes in crystal structure as well as crystallographic orientation.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000045.jpg,./miclib_output/images/000045.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=45
46,"Fe, Ni 30, C 0.3 (wt%), quenched - martensite plates","alloy , carbon, iron, martensite , metal, metastable , nickel, quenching",Metal or alloy,Fe-C-X,"Fe, C 0.3, Ni 30 (wt%)",,,Quenched to -80 °C,,,Reflected light microscopy,80 μm,This sample was quenched to -80 Â°C to give a metastable martensitic microstructure. The martensite plates show a lenticular morphology as the material attempts to shear as it transforms but is unable to open up voids at the grain boundaries. The plates form in a similar way to mechanical twins but the shear processes lead to changes in crystal structure as well as crystallographic orientation.,Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000046.jpg,./miclib_output/images/000046.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=46
47,"Al 95, Cu 5 (wt%), microsegregation - cored dendrites","alloy , aluminium , copper, coring , dendrite , metal, microsegregation",Metal or alloy,Al-Cu,"Al 95, Cu 5 (wt%)",,,As-cast (metal mould),,,Reflected light microscopy,400 μm,"This sample shows kappa-Al dendrites surrounded by a fine eutectic in which the two phases, kappa and θ (AlCu) cannot be resolved optically. The θ phase is non-equilibrium and is present due to microsegregation during solidification. This occurs at the beginning of solidification when the solid is low in solute creating 'cored' dendrites and leaving a solute-enriched liquid.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000047.jpg,./miclib_output/images/000047.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=47
48,"Al 95, Cu 5 (wt%), microsegregation - cored dendrites","alloy , aluminium , copper, coring , dendrite , metal, microsegregation",Metal or alloy,Al-Cu,"Al 95, Cu 5 (wt%)",,,As-cast (sand mould),,,Reflected light microscopy,80 μm,"This sample shows kappa-Al dendrites surrounded by a fine eutectic in which the two phases, kappa and θ (AlCu) cannot be resolved optically. The θ phase is non-equilibrium and is present due to microsegregation during solidification. This occurs at the beginning of solidification when the solid is low in solute creating 'cored' dendrites and leaving a solute-enriched liquid.",Prof T W Clyne,"Department of Materials Science and Metallurgy, University of Cambridge",https://www.doitpoms.ac.uk/miclib/micrographs/large/000048.jpg,./miclib_output/images/000048.jpg,https://www.doitpoms.ac.uk/miclib/micrograph_record.php?id=48
